year,gvkey1,TGTAT_ACQAT,TGTDVAL_ACQAT
1988,001045,0.0046490578,0.0085781289
1988,001171,0.8769688452,1.2319541531
1988,001209,0.0103016826,0.0151024667
1988,001318,0.4324026072,0.3153613
1988,001537,0.4481660974,0.5093761289
1988,001573,0.367424491,0.7367604223
1988,001594,1.1515972284,0.7804414425
1988,001608,0.0525354899,0.0988997435
1988,001627,1.2317101526,0.7764361994
1988,001762,0.4564046336,0.3146303094
1988,001848,0.0390257507,0.0302034954
1988,002006,0.6686587964,0.5708389725
1988,002336,0.4996615778,0.4188779424
1988,002338,0.0139355914,0.0199005223
1988,002504,0.062143464,0.0858503979
1988,002663,0.1084884752,0.1095329122
1988,002839,0.0497671096,0.4246722311
1988,003310,0.4705112312,0.2912851759
1988,003342,0.2893289724,0.1971390576
1988,003491,0.1142747232,0.1482177103
1988,003497,0.0856756515,0.1693896134
1988,003537,0.5708862608,0.0131990072
1988,003580,0.1880482295,0.1314284038
1988,003607,0.65648068,0.401960689
1988,003798,0.5977956286,0.7285634224
1988,003918,0.4363135334,0.3801796285
1988,004058,0.0934367288,0.1837979541
1988,004060,0.0275140095,0.0512346819
1988,004094,0.1779943488,0.7325197984
1988,004145,0.107554199,0.2434804539
1988,004194,0.1511409162,0.4460721129
1988,004327,0.1192615182,0.244622105
1988,004412,0.1315633675,0.1140215852
1988,004962,1.028259405,0.8775662164
1988,005063,0.3659794877,0.2673055524
1988,005087,0.2166690534,0.114563941
1988,005301,0.1737635256,0.0572647015
1988,005476,0.2735607589,0.2149212497
1988,005711,0.2620221948,0.258719394
1988,005855,1.3292629743,0.8024422154
1988,005894,0.010212766,0.0111135934
1988,006196,0.0178459847,0.0071483916
1988,006475,0.0265587347,0.2995282218
1988,007045,1.3953419153,0.9661703275
1988,007127,0.2411100196,0.3683693517
1988,007163,0.0412885673,0.2274852191
1988,007304,0.3316482019,0.2545624036
1988,007435,0.0019054024,0.007914369
1988,007437,0.0337390618,0.0410445446
1988,007668,0.4476995495,0.2724031062
1988,007898,0.1090295044,0.1568961162
1988,007938,0.4038439251,0.2549712829
1988,008163,1.3953419153,1.2319541531
1988,008358,0.125444798,0.1040990882
1988,008468,0.0995177697,0.1337618833
1988,008643,0.089365222,0.3320442611
1988,008736,0.3311820897,0.6266541105
1988,008862,0.3534056711,0.1691377454
1988,008960,0.0797232316,0.0741530495
1988,009155,0.04373836,0.0266098538
1988,009168,0.1933253298,0.2105955024
1988,009293,0.1197927158,0.1887804852
1988,009382,0.8670492874,0.6259919164
1988,009556,0.2232495625,0.1931507376
1988,009775,0.0767022803,0.2417796205
1988,009837,0.8971091315,0.8492060477
1988,010329,0.2497009581,0.3944243566
1988,010375,1.3953419153,0.194236155
1988,010399,0.9407696664,0.7332995499
1988,011113,0.5651553193,0.7482892729
1988,011240,1.3953419153,0.6202496251
1988,011450,0.0139761939,0.2595578864
1988,011682,0.1735175424,0.2793369527
1988,011753,0.6184096128,0.4322446887
1988,011937,0.1915245548,0.6964529266
1988,012368,0.2105895439,0.0715016685
1988,012374,0.5705630361,0.4683449026
1988,012469,0.7254292509,0.8172316007
1988,012851,1.3953419153,1.2319541531
1988,013157,0.3329259556,0.2317838931
1988,013277,0.3772024338,0.6885706179
1988,013312,0.0715026596,0.0502659574
1988,014291,0.0080227464,0.0403942479
1988,025658,0.2579762764,0.2634883311
1989,001013,0.1501762485,0.4171562459
1989,001078,0.0018138215,0.0222605369
1989,001171,0.3563598352,0.9475777713
1989,001318,0.0464040049,0.1202132735
1989,001430,0.0201963309,0.0943434181
1989,001581,0.0204367554,0.028763234
1989,001722,0.0379416908,0.0253790574
1989,001990,0.113815363,0.0366070874
1989,002146,0.0226224467,0.0501900179
1989,002219,0.4476056165,1.2319541531
1989,002338,0.4270986228,0.6866084785
1989,002439,0.0370540137,0.0338059874
1989,002515,0.1040129947,0.0689952865
1989,002593,0.0073373835,0.0050232856
1989,002597,0.1684894943,0.2258108666
1989,002729,0.0037424285,0.0172969383
1989,002872,1.3953419153,0.3164566198
1989,002884,0.2440826584,0.2602777163
1989,003047,0.2942718601,0.5852920973
1989,003087,0.2805732267,0.0658567713
1989,003144,0.2926881332,0.2610492728
1989,003310,0.1829030387,0.4789334647
1989,003491,0.0982473629,0.3919830152
1989,003497,0.3892983142,0.4238129945
1989,003558,0.0722115826,0.227313309
1989,003637,0.2559451834,0.4937525191
1989,003716,1.0669725733,1.2319541531
1989,003888,0.1177738132,0.0802606727
1989,003936,0.6153115419,0.582926724
1989,003964,0.1245054135,0.0318874868
1989,004050,0.9564049229,0.6196914543
1989,004060,0.0499593973,0.5602273753
1989,004066,0.1269062593,0.2420523663
1989,004145,0.0087037207,0.0248677734
1989,004335,1.3953419153,0.04726434
1989,004388,0.393338224,0.3589991727
1989,004598,0.350938217,0.2664282909
1989,004603,0.0913696092,0.063746239
1989,005063,0.0064736883,0.0080069303
1989,005369,0.0810328402,0.0727105485
1989,005397,0.1659751037,0.2120792992
1989,005492,0.4343545944,0.1610747911
1989,005518,0.3042154539,0.1524286293
1989,005593,0.2319099119,0.2675883599
1989,005606,0.0986004963,0.1099751861
1989,005686,0.0109701949,0.0447620519
1989,005878,0.2236986703,0.2029638889
1989,005886,0.1057287353,1.2319541531
1989,005903,0.3819594248,0.5298266564
1989,006104,0.091504058,0.0518043516
1989,006108,0.8770151271,0.698352118
1989,006115,0.3869617112,0.1610366974
1989,006226,0.0035061215,0.0027739609
1989,006288,0.1417885231,0.3832574698
1989,006307,0.0454925827,0.0465576265
1989,006512,0.2056264675,0.2727144051
1989,006731,0.1255570626,0.2557643867
1989,007085,0.2019347502,0.2620317624
1989,007099,1.062101804,0.3871638388
1989,007116,0.0373371168,0.0115648708
1989,007139,1.0129215427,0.8209105622
1989,007761,0.4793456699,0.3443842677
1989,008304,0.0330847734,0.0735217186
1989,008325,1.3953419153,1.027834525
1989,008328,0.4048316296,0.2527203368
1989,008479,0.0595371099,0.2334944172
1989,008533,0.0813655761,0.0788051209
1989,008746,0.1618941617,0.0861405882
1989,008750,0.0963659879,0.169646113
1989,008859,0.3914256291,0.5099031184
1989,009195,0.0051299443,0.0072731211
1989,009411,0.1605155631,0.1459511137
1989,009448,0.6995480143,0.5999997409
1989,010097,0.0147393137,0.0955701197
1989,010247,0.3612922,0.7489029909
1989,010399,0.2541530406,0.5487906364
1989,010407,0.0856374536,0.0240112147
1989,010541,0.3900074101,0.5700108302
1989,010672,0.547084713,0.2778734843
1989,010793,0.5851327105,1.1051475592
1989,010846,0.0029262335,0.0076440386
1989,011056,0.211471115,0.0857610131
1989,011064,0.3996708593,1.2319541531
1989,011318,0.2427087495,0.2167399121
1989,011399,0.0244514139,0.0370167237
1989,011503,0.1960724657,0.1169673675
1989,011866,1.3953419153,1.2319541531
1989,011899,0.1146963311,0.1796448559
1989,011971,0.4566662089,0.2731694232
1989,012144,0.2429819573,0.6054903583
1989,012252,0.2045211851,0.7655970028
1989,012349,0.2567975831,0.2973313192
1989,012471,0.6385632327,0.2444499875
1989,012621,1.2794842995,0.5860233433
1989,012650,1.0328395783,0.7417563892
1989,013278,0.2178386696,0.0909360574
1989,013292,0.1382327283,0.0404583595
1989,013407,0.6645868334,1.2319541531
1989,013506,0.7562927855,1.1590414737
1989,013897,0.0587811445,0.1264110635
1989,014396,0.5023309716,1.2319541531
1990,001078,0.0034153306,0.0033883675
1990,001318,0.101225916,0.3494718035
1990,001446,0.1841662395,0.4036778815
1990,001651,0.0682226437,0.0751074976
1990,001706,0.6652267819,0.5854402236
1990,001724,1.3953419153,0.7230089747
1990,002033,1.0995912019,0.8207981198
1990,002269,0.1511902613,0.0882619009
1990,002308,0.1763722062,0.1216360043
1990,002403,0.0084210526,0.0402604449
1990,003078,0.2690740799,0.1280748623
1990,003091,0.0212674297,0.0343550788
1990,003170,0.0230404772,0.0426657688
1990,003362,0.7371315139,0.6993407853
1990,003478,0.8728778468,0.4565300207
1990,003619,0.5199390862,0.2588141229
1990,003735,0.4835447051,0.3357949341
1990,003936,0.2475793186,0.2245171355
1990,004073,0.0193998731,0.039766718
1990,004094,0.0755510685,0.1399966347
1990,004115,0.7048597705,1.2319541531
1990,004191,0.1081535342,0.0352686483
1990,004218,0.1000681663,0.0523517382
1990,004321,0.2073897497,0.1868248541
1990,004369,1.3953419153,1.2319541531
1990,004981,0.3745435576,0.5059989567
1990,005130,1.3953419153,0.3077589944
1990,005134,0.6824875622,0.5963515755
1990,005465,0.1369908731,0.15873142
1990,005560,0.0387215021,0.0067203318
1990,005878,0.0520855859,0.0390641894
1990,005894,0.1157662412,0.0300777277
1990,006036,0.3572609261,0.0308553545
1990,006111,0.2331199932,0.601873437
1990,006136,0.1942641009,0.1203028817
1990,006169,1.3953419153,0.0458917285
1990,006301,0.5073005534,0.3765494686
1990,006649,0.144940397,0.0336202562
1990,006815,0.0237512694,0.197927245
1990,006856,0.7294709554,0.449411107
1990,006864,0.1205721906,0.3030670384
1990,007114,0.1355515598,0.2383812248
1990,007123,0.3141965734,0.2721127406
1990,007228,0.0636631089,0.3249552552
1990,008283,0.1383215669,0.2898607857
1990,008468,0.0906731713,0.016537874
1990,008579,0.1716266021,0.209780516
1990,008606,0.0003997403,0.0039600399
1990,008626,0.0104234106,0.0997371488
1990,008762,0.0357007627,0.1449667334
1990,008870,0.5344321328,0.3741905378
1990,009280,0.1245680951,0.417321068
1990,009445,0.0351676473,0.0124326854
1990,009545,0.6013645477,0.4828632168
1990,009643,0.4191529984,0.3780694514
1990,010511,0.1345627671,0.0224271279
1990,010537,0.078578669,0.0282883209
1990,010618,1.3953419153,0.4651151809
1990,011063,0.1775415016,0.9708009429
1990,011117,0.2495001825,0.1743232716
1990,012139,0.9717297181,1.2319541531
1990,012349,0.2563264896,0.2967858669
1990,012583,0.3241571419,0.1586089991
1990,012826,0.4203031728,0.4313408343
1990,012947,1.3953419153,1.2319541531
1990,013028,0.061151256,0.0988054859
1990,013197,1.0299137574,0.9924285122
1990,013421,0.0924261874,0.1848523748
1990,013767,0.1488515743,0.0477598634
1990,014334,0.2003128387,1.2319541531
1990,014446,0.4418148659,1.2159841084
1990,014832,0.0413409705,0.0184946447
1990,018366,0.1909601455,0.3879633335
1991,001013,0.052191011,0.2427488884
1991,001054,0.8142115025,0.6295181585
1991,001171,0.0396933965,0.0784897672
1991,001328,0.2783853649,0.9252336449
1991,001331,0.5121638924,0.2043207018
1991,001446,0.9833641624,0.9524855776
1991,001848,0.0360934183,0.0524252817
1991,001865,0.1613073741,0.1295915479
1991,002518,0.0617055412,0.0432975441
1991,003011,0.2212735347,0.3718624061
1991,003138,0.3195380516,0.3820702092
1991,003229,0.4443156573,0.1593740945
1991,003310,0.1238898556,0.1940607563
1991,003558,0.0048838536,0.0060035664
1991,003586,0.0577361855,0.0032899432
1991,003811,0.0440140845,0.1540492958
1991,003933,0.1899546082,0.1716992303
1991,004194,0.0013074059,0.0013069628
1991,004367,0.3550929079,0.3878457697
1991,005032,0.2355187511,0.4205691984
1991,005518,0.4208956647,0.2769358098
1991,005565,0.2247191011,0.308988764
1991,005729,0.3315937949,0.3008540052
1991,005798,0.7308703596,0.5214136102
1991,005894,0.1171375862,0.0304340227
1991,006136,0.1802966634,0.1116531983
1991,006151,0.2369802592,0.1363486898
1991,006357,0.0501262353,0.1610063876
1991,006714,1.0372556929,0.1014549117
1991,006788,0.069866842,0.0069866842
1991,006807,0.0354326488,0.0069586412
1991,007341,0.9033684109,1.2319541531
1991,007635,0.1291155584,0.1168188386
1991,007637,0.0780698659,0.2130733945
1991,007821,0.3526724638,0.426474063
1991,007890,0.1899143365,0.2020365282
1991,007954,0.102270663,0.0063342416
1991,007980,0.6599190283,0.5529105746
1991,008033,0.1128628909,0.0649116229
1991,008626,0.0121587938,0.1163422874
1991,008681,0.2384889895,0.1169292367
1991,008961,1.1719745223,1.2229299363
1991,009004,1.3156782015,0.4844435467
1991,009016,0.0891008452,0.0931909983
1991,009597,0.0943692985,0.1572821642
1991,009611,0.0994606895,0.1430453808
1991,009789,0.0146232235,0.2326463465
1991,010097,0.2410925451,0.0951665621
1991,010134,0.7019738671,0.2154573255
1991,010163,0.1157313172,0.1954056412
1991,010499,1.0077859852,0.0740267518
1991,011056,0.2399363297,0.289867214
1991,011257,0.3021590766,0.1810860979
1991,011259,0.0139218147,0.0212388615
1991,011502,0.1098659932,0.0579072196
1991,011867,1.0372132955,0.3320825761
1991,011985,0.0230687104,0.0705406848
1991,012078,0.509418944,0.445741576
1991,012567,0.0069060773,0.1857734807
1991,012636,0.093770931,0.202277294
1991,013241,0.3670899305,0.325286095
1991,013421,0.3001837627,0.5773971899
1991,013465,0.1878816346,0.0622514483
1991,013468,0.0715907107,0.1833420639
1991,013483,1.3953419153,0.0358680057
1991,013500,0.1534291558,0.281013142
