GVKEY,DATADATE,FYEAR,CIK,MD_A,PROFORMA
001013,31OCT1996,1996,0000061478,3,N
001013,31OCT1999,1999,0000061478,2,C
001013,31OCT2000,2000,0000061478,2,I
001038,31MAR2002,2001,,2,N
001050,31DEC1999,1999,0000003197,3,C
001050,31DEC2007,2007,0000003197,3,I
001050,31DEC2008,2008,0000003197,3,I
001055,30JUN1994,1994,0000725182,2,C
001056,30JUN2002,2002,0000002601,2,C
001072,31MAR2008,2007,0000859163,3,N
001078,31DEC1996,1996,0000001800,2,N
001078,31DEC1998,1998,0000001800,1,N
001078,31DEC2001,2001,0000001800,3,I
001078,31DEC2004,2004,0000001800,3,N
001078,31DEC2006,2006,0000001800,1,N
001078,31DEC2009,2009,0000001800,2,N
001078,31DEC2010,2010,0000001800,2,I
001111,31MAR2000,1999,,1,N
001115,30SEP1995,1995,0000313798,3,C
001161,31DEC2006,2006,0000002488,2,C
001164,31DEC2001,2001,0000723527,2,N
001186,31DEC2005,2005,0000002809,1,C
001186,31DEC2007,2007,0000002809,1,C
001186,31DEC2010,2010,0000002809,2,C
001186,31DEC2012,2012,0000002809,1,N
001209,30SEP1997,1997,0000002969,2,C
001228,30JUN2000,2000,0000098618,1,N
001234,31DEC1994,1994,0000701288,3,C
001240,31JAN1999,1998,0000003333,2,N
001243,31DEC2003,2003,0000004285,1,C
001243,31DEC2006,2006,0000004285,1,N
001255,31DEC1994,1994,0000355143,2,C
001278,31DEC1998,1998,0000003662,3,I
001300,31DEC2000,2000,0000773840,3,N
001300,31DEC2004,2004,0000773840,4,N
001300,31DEC2005,2005,0000773840,4,N
001300,31DEC2006,2006,0000773840,4,N
001300,31DEC2010,2010,0000773840,4,N
001300,31DEC2011,2011,0000773840,4,N
001318,31DEC2005,2005,0000065873,3,I
001327,30SEP2011,2011,0000004127,3,C
001327,30SEP2012,2012,0000004127,2,C
001331,30APR1995,1994,0000004164,5,C
001351,31DEC1994,1994,0000741339,3,C
001356,31DEC1998,1998,0000004281,2,C
001356,31DEC2000,2000,0000004281,2,C
001356,31DEC2002,2002,0000004281,1,N
001359,31DEC1997,1997,0000004310,1,N
001380,31DEC2001,2001,0000004447,2,C
001380,31DEC2010,2010,0000004447,2,N
001392,31DEC1995,1995,0000004427,3,C
001408,31DEC1996,1996,0000789073,2,N
001410,31OCT2008,2008,0000771497,3,I
001430,31DEC1993,1993,0000004829,2,N
001439,31DEC1994,1994,0000742126,3,C
001439,31DEC1995,1995,0000742126,3,C
001468,28FEB2001,2000,0000005133,3,C
001468,28FEB2009,2008,0000005133,2,C
001478,31DEC1994,1994,0000005187,3,C
001498,31DEC1993,1993,0000005405,1,C
001533,30SEP2006,2006,0000350832,4,C
001581,31DEC1999,1999,0000005907,5,I
001581,31DEC2000,2000,0000005907,3,I
001581,31DEC2001,2001,0000005907,2,C
001594,31JAN2000,1999,0000006071,4,C
001598,31DEC2004,2004,0001037868,2,C
001598,31DEC2005,2005,0001037868,3,C
001598,31DEC2007,2007,0001037868,3,C
001602,31DEC1994,1994,0000318154,1,C
001602,31DEC2002,2002,0000318154,3,C
001602,31DEC2004,2004,0000318154,2,N
001602,31DEC2006,2006,0000318154,2,N
001611,31DEC2010,2010,0000731859,2,N
001632,31OCT2000,2000,0000006281,2,N
001632,31OCT2006,2006,0000006281,1,N
001633,31JUL2008,2008,0000006284,3,C
001651,30SEP2003,2003,0000317093,2,I
001651,30SEP2004,2004,0000317093,2,N
001661,31DEC2002,2002,0001163739,2,N
001663,31DEC2004,2004,0000310569,1,N
001677,31DEC1999,1999,0000006720,2,I
001677,31DEC2003,2003,0000006720,3,I
001677,31DEC2004,2004,0000006720,3,I
001678,31DEC1993,1993,0000006769,3,C
001678,31DEC1995,1995,0000006769,2,C
001678,31DEC1996,1996,0000006769,3,I
001678,31DEC2010,2010,0000006769,2,C
001704,31OCT1997,1997,0000006951,1,N
001704,31OCT2006,2006,0000006951,1,N
001704,31OCT2010,2010,0000006951,2,N
001706,31AUG1998,1998,0000006955,3,C
001706,31AUG1999,1999,0000006955,3,I
001706,31AUG2005,2005,0000006955,3,C
001706,31AUG2012,2012,0000006955,3,C
001722,30JUN2003,2003,0000007084,2,N
001743,31DEC1995,1995,0000894405,2,C
001743,31DEC1999,1999,0000894405,2,C
001773,31DEC1999,1999,0000007536,3,N
001773,31DEC2011,2011,0000007536,5,C
001794,30SEP2009,2009,0001305014,3,I
001823,31DEC2005,2005,0000008063,3,C
001823,31DEC2009,2009,0000008063,3,C
001837,31DEC2004,2004,0001004155,2,I
001837,31DEC2011,2011,0001004155,4,C
001848,31DEC1998,1998,0000775483,3,C
001878,31JAN2008,2007,0000769397,1,N
001878,31JAN2009,2008,0000769397,2,N
001884,31DEC2005,2005,0000201653,3,C
001891,30JUN2000,2000,0000008670,3,N
001891,30JUN2002,2002,0000008670,1,N
001891,30JUN2003,2003,0000008670,1,N
001891,30JUN2006,2006,0000008670,3,N
001913,31DEC1999,1999,0000008818,2,N
001913,31DEC2007,2007,0000008818,4,I
001919,30JUN1994,1994,0000008858,5,C
001919,30JUN1996,1996,0000008858,3,N
001919,30JUN2000,2000,0000008858,2,I
001919,30JUN2001,2001,0000008858,3,N
001919,30JUN2011,2011,0000008858,5,C
001926,28FEB2002,2001,0000008947,3,C
001926,28FEB2011,2010,0000008947,3,C
001943,31DEC1998,1998,0000215310,5,C
001953,30SEP1994,1994,0000319237,2,C
001974,31DEC2011,2011,0000009263,3,I
001976,30SEP1997,1997,0000808362,3,C
