gvkey1,gvkey2,year
1004,1300,2001
1013,16401,1997
1013,28848,2000
1013,24543,2000
1013,62865,2004
1036,3524,1997
1045,11533,1988
1048,10443,1999
1050,8423,2015
1054,7643,1988
1054,14404,1991
1056,12657,1988
1056,10983,1999
1056,11908,2002
1072,1577,2008
1075,11817,1986
1076,31460,2005
1078,8318,1989
1078,61500,1999
1078,24971,2004
1078,25279,2006
1078,182015,2010
1081,12629,1988
1094,1094,2011
1095,18364,2000
1097,17249,1989
1117,6696,1986
1117,9019,1992
1135,8125,1981
1161,7531,1987
1161,7772,2003
1164,12628,1994
1164,28289,1996
1164,62673,1998
1177,5137,1982
1177,15617,1997
1177,8446,2003
1177,158354,2011
1194,13033,
1204,11391,1982
1209,1794,2003
1209,148770,2009
1209,8972,2011
1230,5701,1987
1239,13568,1996
1239,8762,2009
1240,24919,1999
1240,1573,2000
1243,1992,2003
1246,2786,1981
1246,1246,1997
1246,1246,1998
1255,26685,1994
1258,223547,2001
1274,16736,2002
1274,23006,2012
1278,10160,1981
1278,10160,1982
1278,9527,1983
1279,6127,2001
1290,3074,1983
1300,2473,1981
1300,2473,1981
1300,1688,1981
1300,13204,1981
1300,5989,1983
1300,110104,1999
1300,17436,2003
1300,10156,2011
1300,4058,2015
1301,4996,1982
1311,14232,
1318,13707,1989
1318,10257,1990
1318,6743,1999
1318,9899,2000
1318,2136,2002
1318,62929,2005
1325,1325,1984
1327,163679,2012
1331,12254,1994
1331,64789,1999
1347,1467,1984
1356,10298,1987
1356,29120,1998
1356,9114,1999
1356,7919,2000
1356,6873,2000
1356,7574,2000
1356,65749,2000
1356,65519,2002
1356,1356,2005
1356,148349,2011
1380,120093,2011
1382,3278,1999
1388,25568,1999
1408,1091,1987
1410,60882,2001
1430,1707,1986
1440,6127,2001
1440,140977,2005
1440,3814,2007
1446,3400,1991
1447,9646,1981
1447,4698,1985
1447,13419,1990
1447,157057,2006
1447,5047,2008
1465,7659,1982
1465,5912,1996
1465,8794,1998
1468,9327,1987
1468,100572,2000
1468,5161,2001
1468,127535,2002
1468,63194,2008
1468,12183,2008
1470,1470,
1478,11055,1987
1478,9183,1989
1478,12275,1992
1478,1430,1994
1478,12275,1996
1478,5180,1999
1478,8762,2008
1481,2166,1981
1481,5424,1983
1485,1699,1986
1487,4746,1990
1487,12805,1997
1487,6351,1999
1487,1465,2001
1487,5047,2003
1487,8789,2007
1487,16428,2007
1487,14830,2007
1487,132525,2008
1487,1487,2010
1498,1462,1993
1526,1526,1981
1526,63313,2001
1533,8522,1983
1533,8522,1983
1533,6403,1998
1533,5018,2005
1533,5018,2006
1545,12956,2003
1562,10092,1996
1567,10649,1984
1573,6834,1989
1581,8275,1980
1581,7840,1981
1581,7648,1991
1581,13644,1994
1581,10393,1999
1581,23717,1999
1581,6066,1999
1581,14244,1999
1581,2146,1999
1581,64357,2000
1581,61700,2000
1581,61464,2000
1581,1581,2000
1581,30750,2000
1581,11300,2001
1581,1581,2001
1581,2625,2001
1581,1581,2002
1581,61988,2004
1585,1585,2000
1585,4108,2002
1585,17436,2006
1585,100080,2008
1585,1094,2008
1594,13690,2000
1598,1598,1999
1598,4145,2001
1598,1300,2004
1598,65345,2006
1602,11949,1994
1602,5885,2002
1602,127384,2004
1602,112178,2006
1608,3014,1981
1608,7113,1988
1613,2459,1981
1613,11226,1984
1613,10861,1985
1618,62093,2005
1618,116004,2007
1619,17045,1993
1619,16646,1994
1632,163927,2014
1633,1633,2003
1651,9484,1987
1651,6309,1990
1651,2615,2001
1651,1281,2003
1659,20185,2000
1659,181269,2012
1661,22531,1995
1661,8068,1996
1661,15487,1999
1677,30168,1999
1677,65923,2003
1678,20293,1993
1678,1678,1996
1678,8068,2000
1678,11923,2004
1678,1380,2006
1678,11923,2007
1678,148281,2010
1690,177650,2013
1704,15494,1999
1704,9465,2002
1706,2062,1990
1706,11145,1998
1706,11682,1998
1722,2550,1989
1724,3047,1990
1743,24464,1999
1746,4404,1988
1746,3992,1990
1746,18691,1992
1755,13986,1992
1755,27925,1996
1762,10723,1998
1773,14379,1994
1773,2356,1999
1773,8599,2003
1773,8017,2011
1773,9125,2011
1781,9416,1987
1786,7045,1999
1786,2033,1999
1794,14793,1995
1794,5589,2009
1831,4768,1996
1831,4764,1996
1831,10482,1997
1831,12124,1998
1831,1909,1999
1831,9563,1999
1831,9783,
1831,24885,
1837,10277,2000
1847,10251,1985
1848,12045,1998
1866,221821,2003
1891,62842,1999
1891,31129,2002
1891,12124,2002
1891,1891,2003
1891,19605,2012
1913,3868,1990
1913,29414,1999
1919,3791,1984
1919,15307,1994
1919,20583,2001
1920,6975,1982
1920,7221,1986
1966,6769,1983
1976,5775,1987
1976,9494,1998
1976,166583,2005
1981,9203,2007
1981,9203,2007
1981,61739,2009
1988,9114,1998
1989,15852,1993
1989,22407,1997
1990,6877,1986
1990,10949,1988
1995,211819,2001
1995,24216,2002
1995,146774,2004
1998,7532,1986
1998,1458,1987
1998,7031,1988
1998,176455,1991
1998,11090,1993
1998,17762,1994
1998,12347,1996
1998,25323,1997
1998,4694,1998
1998,30888,2002
1998,3054,
